scor	metoda	cale	titlu_local	->	titlu_youtube	id
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 07	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 08	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 09	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 10	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 11	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 12	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 13	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 14	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 15	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	Outlast partea 16	->	IOBAGG - OUTLAST partea I	JkNJDycXUpo
0.57	fuzzy	IOBAGG/OUTLAST/MainGame	OUTLAST partea 17 FINAL	->	IOBAGG - OUTLAST FINAL	Jfx_4MaW1qM
0.67	fuzzy	3lar/2013	28 - Biopic Special	->	3lr - Biopic Special	UeRwappKBuo
0.67	fuzzy	3lar/2013	38 - Halloween Special	->	3lr - Halloween Special	RsXK3dKUTBk
0.67	fuzzy	CODIN&RAMO/DPS	DPS #29 - ＂Drunk＂ Stream şi Electric Castle + Şusca şi Şelly	->	DPS #29 - "Drunk" Stream i Electric Castle + usca i elly	Pt-3i47uoqs
0.67	fuzzy	CODIN&RAMO/Educational	CM Poker Inviteişăn	->	CM Poker Invitein	ZmUBXJiAPmQ
0.67	fuzzy	IOBAGG/OUTLAST/Whistleblower	Outlast Whistleblower partea 6 FINAL	->	IOBAGG - Outlast Whistleblower FINAL	32YEtTVDkaw
0.67	fuzzy	PIRAMIDA	03 - Descoperim Talente	->	Piramida - Descoperim Talente	-YNoAdUPTtc
0.67	fuzzy	PIRAMIDA	09 - Editia Especial	->	Piramida - Editia Especial	vRszTb9j4qs
0.67	fuzzy	PIRAMIDA	10 - 1 Mai	->	Piramida - 1 Mai	WKn6mMj2CaU
0.67	fuzzy	RENDAM	[EN] The Artist	->	Rendam - The Artist	v6S9w9h6_FU
0.67	fuzzy	RObotzi/Extras	Harlem Shake	->	Harlem Shake (RObotzi edition)	A5VP9B6EeW0
0.67	fuzzy	RObotzi/Extras	Sarbatori fericite	->	RObotzi.S02.Sarbatori fericite	OuZbZxeAflg
0.67	fuzzy	RObotzi/Songs	LENE	->	IOBAGG - LENE	HfwJfQTsCxs
0.67	fuzzy	RObotzi/Songs	Ler is MOre	->	MO (feat.Pufoshenia) - Ler is MOre	KmD0HuEPL-o
0.67	fuzzy	RObotzi/Songs	Piftel	->	MO - Piftel	2GeOa14pOuM
0.73	fuzzy	CSP/Gameplay	Un Meci Adecvat cu HeimerDongăr	->	DePeStream - Un Meci Adecvat cu HeimerDongr	fUtA9lIXs-Q
0.75	fuzzy	3lar/2013	13 - White Wolverine Guns	->	3lr - White Wolverine Guns	EcmScEUViZc
0.75	fuzzy	3lar/2014	15 - Badly Drop Together	->	3lr - Badly Drop Together	nY-uo58P8-8
0.75	fuzzy	PIRAMIDA	06 - Legenda lui Petrica	->	Piramida - Legenda lui Petrica	VnzXvXeE9jA
0.75	fuzzy	PIRAMIDA	07 - Metode de Trezire	->	Piramida - Metode de Trezire	8lY00PvmrH0
0.75	fuzzy	PIRAMIDA	11 - Copilu din Mine	->	Piramida - Copilu din Mine	A6r2Cn8rDH8
0.75	fuzzy	PIRAMIDA	14 - Dreptate din Borcan	->	Piramida - Dreptate din Borcan	omGTv3-6F5Q
0.77	fuzzy	CODIN&RAMO/PUNCT	04 - YEEY, Am dat drumul inscrierilor!	->	PUNCT #4 - YEEY, Am dat drumul inscrierilor!	7DuIb3aCLGY
0.80	fuzzy	3lar/2013	09 - Conjuring a Cloudy Rapturepalooza	->	3lr - Conjuring a Cloudy Rapturepalooza	PFp92r4gKZM
